,asin,reviews,entity
49,B0764HW117,"I have got a list of requirements for my desire computer. First, it should have a nice screen. Second, the bluetooth connection and the AC WIFI should be stable. Third, I want to play games smoothly on it. Fourth, the battery life should be long enough. Fifth, I would need a nice keyboard and a nice trackpad in case I need to type at night. Sixth, the computer should bootup fast. Seventh, I need a nice video card. And last but not least, I need it to be quiet.","['Touchpad', 'Computer', 'Video card', 'Bluetooth', 'Wi-Fi', 'Rechargeable battery', 'Alternating current', 'Computer keyboard', 'Computer']"
50,B0764HW117,I need a computer that can play games fast and smoothly.,['Computer']
51,B0764HW117,I want a computer that is able to run games at a high-ultra setting without getting too hot.,['Personal computer']
52,B0764HW117,The computer should have both reasonable price and performance.,['Computer']
53,B0764HW117,The computer I want should have a high performance-cost ratio and a comfortable IPS panel. I hope it is well built and durable. The keyboard would be better to be a back-lit red one and be comfy for typing.,"['Personal computer', 'IPS panel', 'Computer keyboard']"
54,B0764HW117,I need the computer to have high performance-cost ratio and low power consumption and heat.,['Computer']
55,B0764HW117,I want the computer to provide great performance with games and stay cool while playing.,"['Stay Cool', 'Computer']"
56,B0764HW117,"I need the computer to do well in gaming and editing, of course with a good price also.",['Computer']
57,B0764HW117,I want a computer with long battery life.,"['Artillery battery', 'Computer']"
58,B0764HW117,The computer I will be using should have a high performance-cost ratio.,[]
59,B0764HW117,I need the computer to be within reasonable price.,['Computer']
60,B0764HW117,I hope the price fit with its performance.,[]
61,B0764HW117,I want a high performance-cost ratio computer with a good fingerprint scanner and good keyboard backlighting. I need it to play games well at a low temperature and long battery life.,"['Computer', 'Fingerprint', 'Computer keyboard', 'Artillery battery']"
62,B0764HW117,I want a fast and responsive computer.,['Computer']
63,B0764HW117,I want the computer to be quiet and stay cool while playing games with a high perfomance-cost ratio.,"['Stay Cool', 'Personal computer']"
64,B0764HW117,I need a computer with long battery life.,"['Computer', 'Artillery battery']"
65,B0764HW117,"The computer I need is the one with high performance-cost ratio, while having good cooling and consistent performance.",['Computer']
66,B0764HW117,I need a fast computer.,['Computer']
67,B0764HW117,I need the computer to perform great in gaming.,['Computer']
68,B0764HW117,A cool computer which can run fast is what I need.,['Computer']
69,B0764HW117,A reasonable price is what I consider when buying a new computer.,['Computer']
70,B0764HW117,The computer I want should run intense games perfectly and have a high performance-cost ratio.,[]
71,B0764HW117,"I want a computer with a high performance-cost ratio, yet it should have efficient cooling and run quietly. Hopefully the build quality is premium.",[]
72,B0764HW117,I need the computer to keep cool when I am gaming.,['Computer']
73,B0764HW117,I want a fast computer.,['Computer']
74,B0764HW117,My dream computer is a powerful laptop.,['Computer']
75,B0764HW117,I need a computer with high performance-cost ratio.,[]
76,B0764HW117,I want my future computer to have a high performance-cost ratio.,[]
77,B0764HW117,I want a computer that runs fast.,['Computer']
78,B0764HW117,I need a computer with impressing build.,['Computer']
79,B0764HW117,A good design and a cool keyboard should be applied to the computer. The keystokes on it should be comfortable to type on. It would be better if the speakers and fingerprint reader are in good situation. I hope the price wouldn't be too high for all the above features.,"['Fingerprint', 'Computer', 'Computer keyboard']"
80,B0764HW117,I want my future computer to have plenty of storage with a high performance-cost ratio.,['Computer']
81,B0764HW117,"I need a computer that runs silently with a good battery life, also it should stay within my budget.","['Computer', 'Artillery battery']"
82,B0764HW117,I need a computer with solid build quality and a reasonable price.,['Computer']
83,B0764HW117,I need a sturdy computer with a beautiful screen and above-average sound quality.,['Computer']
84,B0764HW117,I want a computer with nice performance-cost ratio.,[]
85,B0764HW117,"The computer should have great build quality and specs, but also with a good price.",['Computer']
86,B0764HW117,"I need the computer not to look gaudy, but to play games well.",['Computer']
87,B0764HW117,"I have some criteria for my dream computer. For the size, it should be a small and light computer. For the price, I hope it won't be too high. For the content, I want it to have a high expandability and can handle heavy duty work loads with a solid I/O options. I don't want the computer to go overheat while performing the jobs. For the design, I prefer a sleek and neutral one. For the battery, I need it to be long enough to support my work. For the hardware, I need a great display panel, a sturdy keyboard with great typing experience and keys with red LEDs as the backlit.","['O', 'Rechargeable battery', 'Computer', 'Computer', 'Light-emitting diode', 'Computer', 'Computer keyboard']"
88,B0764HW117,I need a computer with a good trackpad and battery life which can max out any games.,"['Computer', 'Touchpad', 'Artillery battery']"
89,B0764HW117,The build quality has to be awesome in my computer. I also want the design and the price to be nice. It should have the best cooling and runs silently. The SSD should be good.,"['Computer', 'Solid-state drive']"
90,B0764HW117,I want a well-built computer.,['Computer']
91,B0764HW117,I need a good video card to go with my computer.,"['Computer', 'Video card']"
92,B0764HW117,I need a computer with great build quality.,['Computer']
93,B0764HW117,I need a good gaming laptop.,['Gaming computer']
94,B0721Y4BKP,I want a computer that do super fast startup and have a good processor. I want it to be light and have a thin screen so I can carry it around. I also want adequate RAM to store my data.,['Computer']
95,B0721Y4BKP,I need a light computer which can turn on fast and run cool. I need to have a good screen with it. I also need to have a decent battery life to get my work done.,"['Computer', 'Rechargeable battery']"
96,B0721Y4BKP,I want a computer with high performance-cost ratio.,[]
97,B0721Y4BKP,"I need the computer to boot up fast. For the weight, I prefer a light one. And for the battery life, I prefer a longer one.","['Rechargeable battery', 'Booting', 'Computer']"
98,B0721Y4BKP,I need a computer with a reasonable price. I need to take it to my class so it's better to be small and have a good screen to work with. I need to store my work so I need a decent CPU. I like a traditional layout. I need the track pad to be functional and I should type fast and accurately on the keyboard. Hopefully the speakers are decent too.,"['Computer keyboard', 'Central processing unit', 'Computer']"
99,B0721Y4BKP,I want a light computer which can runs fast.,['Computer']
100,B0721Y4BKP,I need a fast laptop with good configuration.,[]
101,B0721Y4BKP,"The computer should boot up and connect to the Wifi in a super fast way, but I don't want the price to be too high and the diplay should be great also.","['Booting', 'Computer']"
102,B0721Y4BKP,I need a computer with a nice and sleek look and large space for my programmes.,['Computer']
103,B0721Y4BKP,"I need a few criteria for my new computer. First, I need a sturdy but light lid. Second, I need a good selection of ports. Third, I need the colours to look vivid on the screen. Fourth, I need the viewing angles to be decent. Fifth, I need the computer to have a decent battery life. Sixth, I need the computer to have a backlit keyboard which is quiet while typing. Seventh, I want the fan noise to be manageable. Last but not least, I want the bluetooth connection to be as fast as it can be.","['Computer keyboard', 'Bluetooth', 'Computer', 'Computer', 'Vivid (band)', 'Rechargeable battery', 'Computer']"
104,B0721Y4BKP,I need a computer with cool extra hard drive that is fast and clear.,"['Computer', 'Hard disk drive']"
105,B0721Y4BKP,I want a quick laptop with amazing display.,[]
106,B0721Y4BKP,I need a computer with a high performance-cost ratio and a large memory. I want the computer to boot up quick and last long for the battery.,"['Random-access memory', 'Booting', 'Computer', 'Computer', 'Artillery battery']"
107,B0721Y4BKP,"I need a light computer that runs fast. For the keyboard, it would be better if it is back-lit. The USB port access should be great. The screen would be better if it has vibrant resolution. The battery life should be reasonable for a laptop. I want it to have a high performance-cost ratio.","['USB', 'Computer keyboard', 'Rechargeable battery', 'Personal computer']"
108,B0721Y4BKP,"I want the computer to stay within a reasonable price range, having a sensible fingerprint sensor and large amount of storage.","['Computer', 'Fingerprint']"
109,B0721Y4BKP,I want a fast and light computer.,['Computer']
110,B0721Y4BKP,I need a computer which is fast and light. I want the design to be sleek. I need good storage capabilities to store my things and good speakers for gaming.,['Computer']
111,B0721Y4BKP,"The computer should be light for me to carry it around. I need a good SSD and HDD combination for speed and power. I need good keyboard, touchpad and fingerprint scanner.","['Computer', 'Computer keyboard', 'Hard disk drive', 'Touchpad', 'Fingerprint', 'Solid-state drive']"
112,B0721Y4BKP,I love computer with great design.,['Computer']
113,B0721Y4BKP,I want the computer to be light enough for me to carry it around.,['Computer']
114,B0721Y4BKP,I need the screen to be great enough but not affecting the weight.,[]
115,B0721Y4BKP,I want a fast computer with a nice fingerprint scanner to accelerate.,"['Computer', 'Fingerprint']"
116,B0721Y4BKP,I need a computer that is light and start up fast. I don't want the keyboard to be too fancy though.,['Computer']
117,B0721Y4BKP,I need a light computer.,['Computer']
118,B0721Y4BKP,The computer should have a light but large enough screen accomplished with speed.,['Computer']
119,B0721Y4BKP,The computer should be light.,[]
120,B0721Y4BKP,I need a computer which can be opened as soon as possible and have strong wireless connection. I hope it will be portable. And I hope it runs fast on the programming.,"['Computer', 'Wireless']"
121,B0721Y4BKP,I need a fast computer in both typing responsiveness and log in time. I also need good Bluetooth connection to the other devices.,"['Computer', 'Bluetooth']"
122,B0721Y4BKP,I want a quick computer with reasonable price.,['Computer']
123,B0721Y4BKP,I need a computer with great screen.,['Computer']
124,B0721Y4BKP,I need a good looking computer which stays within my budget.,['Computer']
125,B0721Y4BKP,"The computer should be slim, light and looking good. Of course, it should run fast for me to use.","['Computer', 'Smart Lander for Investigating Moon']"
126,B0721Y4BKP,The screen and touch pad should be great for my computer.,['Computer']
127,B0721Y4BKP,I need a quick and responsive computer.,['Computer']
128,B0721Y4BKP,I need a thin computer with an appealing design and a light weight. I need it to perform well in running small applications and programming. I hope the keyboard is light-up and easy-to-type.,"['Computer', 'Computer keyboard']"
129,B0721Y4BKP,I need a fast computer.,['Computer']
130,B0721Y4BKP,I need a well-built computer which is light and sleek so I can carry it around.,['Computer']
131,B0721Y4BKP,"I want a computer that bring up my application quickly and I can work on a large screen with sharp imaging. I would also look into the design, which I hope it to be light, slim and attractive.","['Computer', 'Smart Lander for Investigating Moon']"
132,B0721Y4BKP,I need the screen to be nice and big while maintaining a light weight.,[]
133,B0721Y4BKP,I need to have plenty of ports on the computer.,['Computer']
134,B0721Y4BKP,I want a light computer with a backlit keyboard and a clear bright screen. The computer should start up quickly with impressive specs. I also need some really good hard drive.,"['Computer keyboard', 'Hard disk drive', 'Computer', 'Computer']"
135,B0721Y4BKP,I need a eye-catching display and a satisfying backlit keyboard for the computer.,"['Computer', 'Computer keyboard']"
136,B0721Y4BKP,I need a fast computer.,['Computer']
137,B01N6S4A2U,"(This commenter really does not write much thing about the computer but just talking about how to module the computer, as a result there is not much thing to note. Please don't try to read it through cause it's over 100 words and you may find nothing usable.)","['Computer', 'Computer']"
138,B0749DN9BN,I need a computer with high performance-cost ratio.,[]
139,B0749DN9BN,I don't want the computer to be heavy or look dull. I need it to be fast.,[]
140,B0749DN9BN,I hope there is not much trial software on the computer.,['Computer']
141,B0749DN9BN,"I need a computer which include a CD drive and run fast with Wifi, and of course the price should be reasonable.","['Compact disc', 'Computer']"
142,B0749DN9BN,I want to computer to have a low price.,[]
143,B0749DN9BN,A fast computer with a great screen resolution is what I need.,['Computer']
144,B0749DN9BN,I need the look of the computer to be sleek.,['Computer']
145,B0749DN9BN,I want a light computer.,['Computer']
146,B0749DN9BN,I need a computer that stays within my budget.,['Computer']
147,B07BVZRVPF,I write programmes so I need a computer that is perfect for programming.,['Computer']
148,B077P7D2B2,I need to replace my old computer so I need a new computer with excellent CPU.,"['Central processing unit', 'Computer', 'Computer']"
149,B077P7D2B2,I work on webpage design so I hope the computer can work my graphic design programmes well. I also need nice web cam to hold conferences.,[]
150,B077P7D2B2,I need a new computer that is fast and well priced.,[]
151,B077P7D2B2,My old computer isn't working so I need a new computer which is fast and responsive. I don't have much money so I hope the price to be reasonable.,[]
152,B077P7D2B2,I want to change my old computer and I need a new one with a reasonable price.,[]
153,B077P7D2B2,I don't have much money so I need a new computer with a good price.,[]
154,B077P7D2B2,I need a fast computer.,[]
155,B077P7D2B2,My old computer is too slow so I want a new one.,[]
156,B077P7D2B2,I want to get to use the computer as soon as possible so it's better to have some pre-loaded software.,[]
157,B077P7D2B2,I want a faster computer than my old ones.,[]
158,B06XFGF7SN,I need a computer with good specs.,[]
159,B06XFGF7SN,I took hours to do my paper so the computer should have impressive battery life.,[]
160,B06XFGF7SN,I am a college student so I need a cheap computer which can last long for battery life.,[]
161,B06XFGF7SN,I do literally everything on my laptop so I hope it to be easily upgradable and have a reasonable price. I take it around so I hope it looks attractive.,[]
162,B06XFGF7SN,I look into various factors while buying my new computer. I want good hardware and good display to go with it. I also need nice keyboard and trackpad. A decent battery life is also needed.,[]
163,B06XFGF7SN,"I need a computer that works good for working and gaming without a high price. I need to take it around so I hope the finish would be matte and slightly rubbery. I need a good screen for me to work. For gaming, I need it to run most of my games successfully. I want it to boot fast and run Windows applications quickly.",[]
164,B06XFGF7SN,I do virtualisation on my computer so I need a responsive laptop.,[]
165,B06XFGF7SN,I enjoy playing games on my laptop so I hope the laptop do magnificent job of graphics and gameplay. All games should run smoothly on it and the audio quality ought to be good while gaming. I need to take it to schoold so a normal design is preferrable.,[]
166,B06XFGF7SN,"I do a lot of typing work so I hope the surface would be comfortable to rest my hands on. Also, I like a sleek laptop with a responsive mousepad and keys. Not to mention that the specs should be wise.",[]
167,B06XFGF7SN,"My old computer has stopped working so I need a new computer with good internal specs, also, it should be fast and have amazing battery life.",[]
168,B06XFGF7SN,I am trying to find a gaming laptop that goes really fast.,[]
169,B06XFGF7SN,"I have used my old computer for a long time and I am planning to replace it with a new one that has a much faster processing speed. I also want some nice quality of graphics on it. For the specs, I hope there will be useful built-in features and programmes, solid hard drive and a strong compatibility with Windows 10. For the keyboard, I think it would be amazing to be backlighted. I do gaming so I want some good gaming experience and long battery life for long-hour gaming. I may take it around so it should be light. ",[]
170,B06XFGF7SN,I want to play games on my new computer so it should response quickly.,[]
171,B06XFGF7SN,My old computer can't really play games so I want a new one that can play games at high settings.,[]
172,B06XFGF7SN,"I would use the computer for gaming and home schooling so I hope it's well built with a reasonable price. Also, I need easy access to RAM and hard drive.",[]
173,B06XFGF7SN,I got to use a lot of graphics and processing-heavy programmes so I hope the computer has no issues with them. It should startup fast without being overheat. I hope there will be clear display and sound. The battery life should also be long to support my work.,[]
174,B06XFGF7SN,I like playing games so I hope the new computer can play games at high settings effortlessly.,[]
175,B06XFGF7SN,I don't really have much money but I wish to have a computer that can run games on ultra graphic settings.,[]
176,B06XFGF7SN,"My old computer doesn't work anymore so I need a new computer with cool graphics, CPU, RAM and ports.",[]
177,B06XFGF7SN,I need a computer with a high-performance-cost ratio.,[]
178,B06XFGF7SN,"I am new to gaming laptop and I want one that run flawlessly for games. Also, I want it to have great design and start up fast.",[]
179,B06XFGF7SN,I use the computer for my personal use and I hope it won't heat up if overused.,[]
180,B06XFGF7SN,I have done some research on my new computer and I want a really fast one.,[]
181,B06XFGF7SN,I produce music so I hope the new computer works great for the software with a reasonable price.,[]
182,B06XFGF7SN,I don't require much for my new computer but speed is important.,[]
183,B06XFGF7SN,I need a good laptop with reasonable price.,[]
184,B06XFGF7SN,I checked many computers on Amazon and I want to find one with high performance-cost ratio.,[]
185,B06XFGF7SN,I want to find a fast computer for my cousin.,[]
186,B06XFGF7SN,I am finding some recommendations for a new computer that is fast and have both nice cooling system and battery life.,[]
187,B06XFGF7SN,I need a new computer that my video games can function well on it.,[]
188,B06XFGF7SN,I would use the computer for light gaming so I hope the computer would play games well.,[]
189,B06XFGF7SN,I don't have much money so good price is important for a new computer.,[]
190,B06XFGF7SN,I look into graphics so I need a computer that can handle heavy graphics.,['Computer']
191,B06XFGF7SN,I care about the feel so the computer should be solid enough.,['Computer']
192,B06XFGF7SN,I do multitasking so I need a good system to come with the laptop.,['Computer multitasking']
193,B06XFGF7SN,A computer that runs games well with a low cost is what I needed.,['Computer']
194,B06XFGF7SN,I like gaming so I need a laptop that run games well.,[]
195,B06XFGF7SN,"Everyday I need to use my laptop so I need a big screen and a great keyboard to make it comfortable, of course, it should be fast also.",['Computer keyboard']
196,B06XFGF7SN,I expect my new computer will be fast and reasonably priced.,[]
197,B06XFGF7SN,"For my gaming laptop, I want it to have a beautiful design. I also want it to comfortable and run fast.",[]
198,B06XFGF7SN,I need a really fast computer.,['Computer']
199,B06XFGF7SN,I cannot spend too much on the computer so I need one with a reasonable price.,['Computer']
200,B06XFGF7SN,I play a number of games so I want the computer to run games well.,['Computer']
201,B06XFGF7SN,I want to spend as less as possible on my new laptop.,[]
202,B06XFGF7SN,A nice looking computer would be suitable for me.,['Computer']
203,B06XFGF7SN,I need a computer with a reasonable price.,['Computer']
204,B06XFGF7SN,I would use the new computer with my wife so I want it to look sleek and have a good speaker.,['Computer']
205,B06XFGF7SN,I need a computer that is good for multitasking.,"['Computer', 'Computer multitasking']"
206,B06XFGF7SN,I don't want to annoy others so I need a quiet computer.,['Computer']
207,B06XFGF7SN,I need a new gaming laptop with some good build quality. I also want it to be thin and light so that I can carry it around.,[]
208,B06XFGF7SN,I need a engineering work station so the computer should be fast.,[]
209,B06XFGF7SN,I need a computer to handle my school work so it should run fast.,[]
210,B06XFGF7SN,I don't play many games but I still hope the computer would play games well.,['Computer']
211,B06XFGF7SN,I need some good price for my computer as I am lacking money.,['Computer']
212,B06XFGF7SN,I am a student so I need a computer that come with the perfect size and run games well.,['Computer']
213,B06XFGF7SN,I want an amazing touch pad for my computer.,['Computer']
214,B06XFGF7SN,I need a fast computer with a low budget.,['Computer']
215,B06XFGF7SN,I know something about computer and all I want is a good-looking computer that play games well.,"['Computer', 'Computer']"
216,B06XFGF7SN,I hope the computer will fit with my budget.,['Computer']
217,B06XFGF7SN,Specs are what I look into when buying a new computer so the keyboard and trackpad must be decent.,"['Computer keyboard', 'Touchpad', 'Computer']"
218,B06XFGF7SN,Photo editing is my job so I would need a computer that have good screen resolution. I also want a fantastic keyboard to come with it. I may bring it around so it should be great looking and light.,"['Computer', 'Computer keyboard', 'Photo manipulation']"
219,B06XFGF7SN,I need a computer with a reasonable price.,['Computer']
220,B06XFGF7SN,I enjoy playing games and I would like the games to display well with good speaker and good graphic performance.,[]
221,B06XFGF7SN,I am finding for a new gaming laptop. It should produce less heat with a lower power consumption. I want it to boot and startup fast. The screen should be bright with low light leckage and high colour representation that come with wide viewing angles. I also need a solid build that it only produce low fan noise. I don't want it to be too heavy. A good keyboard is preferrable.,"['Gaming computer', 'Computer keyboard', 'Booting']"
222,B06XFGF7SN,I am trying to find a new gaming laptop that plays my games fast and quietly. I also want to have a cool back-lit keyboard.,"['Gaming computer', 'Computer keyboard']"
223,B06XFGF7SN,"I enjoy playing games on my laptop so I need a new one that have good specs with a reasonable price. I want to to boot up quickly for me to use it. I also want it to have decent battery life for me to play games. For the design, it must be good and have a backlit keyboard.","['Booting', 'Computer keyboard', 'Rechargeable battery']"
224,B06XFGF7SN,"I pay attention to gaming experience so I need a new laptop with amazing gaming performance. It should boot up as soon as possible. For the specs, I need excellent touch pad, good back-lit keyboard, perfect speakers and subwoofer audio. By the way, I hope the computer would run quietly.","['Subwoofer', 'Pay Attention', 'Booting', 'Computer keyboard']"
225,B06XFGF7SN,"I am buying my first laptop and I have thought of some requirement for it. First, the processor should be fast. Second, the storage space should be large and the battery life should be decent for my games. Third, when I am playing games, I want to keys to be comfortable and the display to be good. Fourth, I sometimes do video conferencing so I need a good front camera. Fifth, I need a superb charging speed as I may need the computer to work at anytime. Last but not least, I hope the price won't be too high.","['Rechargeable battery', 'Videotelephony', 'Computer']"
226,B06XFGF7SN,I am considering to change my old computer and what I need is a computer with a high performance-cost ratio and long battery life. I also want it to look good.,"['Computer', 'Computer', 'Artillery battery']"
227,B06XFGF7SN,I am looking for a computer that will boot fast and play games with ease.,"['Booting', 'Computer']"
228,B06XFGF7SN,I want to find a laptop that can play games with my friends so I need it to have great performance for gaming and be cheap.,[]
229,B078JXMS8W,I am finding a new computer that would startup quickly.,['Computer']
230,B078JXMS8W,I am using the computer for work so I need it to be fast and have bright colours.,['Computer']
231,B078JXMS8W,I want to change my old computer and I want a fast computer with reasonable price. I also want it to have nice display and obtain bluetooth.,"['Computer', 'Computer', 'Bluetooth']"
232,B07C86S13K,I am finding a new computer that have good specs but low price.,['Computer']
233,B077XS11LS,My wife and I want to change the computer of our home and we are finding a computer that works quietly and fast. A good touch screen is also necessary.,"['Computer', 'Computer']"
234,B077XS11LS,My computer just recently broke down so I need a new computer immediately. I need it to be cheap and fast. The ports should also be acceptable.,"['Computer', 'Computer']"
235,B077XS11LS,I recently need a new computer that comes with high speed and minimal bloatware. I do multitasking so I hope it works well on that with a decent price.,"['Software bloat', 'Computer multitasking', 'Computer']"
236,B077XS11LS,"I need a computer to write my master's papers so I need it to be light and portable to take it around. It should be running fast so I can finish my papers on time. For a better typing experience, I would need a great touchscreen and a responsive keyboard. Good resolution is also needed to protect my eyes.","['Touchscreen', 'Computer keyboard', 'Computer']"
237,B077XS11LS,I am trying to find a new computer that comes with good design and light weight.,['Computer']
238,B077XS11LS,I need a fast computer.,['Computer']
239,B077XS11LS,I like computer that feels classy and sleek.,"['Classy (magazine)', 'Computer']"
240,B077XS11LS,I don't have much money so I would need a computer with reasonable price.,['Computer']
241,B077XS11LS,The computer should have a high performance-cost ratio.,[]
242,B077XS11LS,I have some expectations on my new computer that it should have a good processor with enough RAM.,['Computer']
243,B0788JTZFM,I am finding a new gaming computer for myself and I want it to be fast and upgradeable. The setup should be nice and the keyboard should be great. I hope the price would be reasonable.,"['Gaming computer', 'Computer keyboard']"
244,B0788JTZFM,A backup laptop is needed and I hope it comes with great specs with low cost. I want it to boot up fast and run programs well. I also hope the setup would be easy for me.,['Booting']
245,B0788JTZFM,"I am getting into gaming laptop so I want one that runs most games smoothly with good specs. The screen should have good viewing angles and the speakers should produce quality sound. I want the computer to run cool. Of course, it should look good with a reasonable price.","['Gaming computer', 'Computer']"
246,B0788JTZFM,I want to have a laptop for out-of-town use and I want a budget-friendly computer that handle games with no issue.,['Computer']
247,B0788JTZFM,"I am finding a replacement for my old computer and I want a new one that run games perfectly and incredibly fast, but with a great price.",['Computer']
248,B0788JTZFM,I am not really a gamer but I need a computer that is fast and economical.,['Computer']
249,B0788JTZFM,The computer I want should look cool and own a nice graphic card.,['Computer']
250,B0788JTZFM,I am new into computer gaming and I want something that runs smoothly with reasonable price.,['Computer']
251,B0788JTZFM,I play lots of games and I'm finding a new computer that run fast of all my games. I also own a VR headset and I want it to work well with that.,"['Virtual reality headset', 'Computer']"
252,B0788JTZFM,I want to buy a new computer for gaming so I want it to download games quickly.,['Computer']
